ace_id,pair_id,project,old_version,new_version,type,raw_type,method,path,path_depth,breaking_change,shared_schemas_count,calls_services_count,has_request_body,has_response_body,detail_len,is_add,is_remove,detail
pair-01363891b80836fcd99f::ace::0,pair-01363891b80836fcd99f,,,,endpoint_added,ENDPOINT_ADDED,get,/inventory/{id},2,0,0,0,0,0,15,0,0,/inventory/{id}
pair-01571a0bff019f1b3b12::ace::0,pair-01571a0bff019f1b3b12,,,,endpoint_added,ENDPOINT_ADDED,get,/analytics-service/new0,2,0,0,0,0,0,23,0,0,/analytics-service/new0
pair-01b120eb5284a4e3d32b::ace::0,pair-01b120eb5284a4e3d32b,,,,response_code_removed,RESPONSE_CODE_REMOVED,get,/synth-openapi-d7aa056dc229/items,2,1,0,0,0,0,0,0,0,
pair-01b120eb5284a4e3d32b::ace::1,pair-01b120eb5284a4e3d32b,,,,param_required_added,PARAM_REQUIRED_ADDED,get,/synth-openapi-d7aa056dc229/auto85627,2,0,0,0,0,0,0,0,0,
pair-01b120eb5284a4e3d32b::ace::2,pair-01b120eb5284a4e3d32b,,,,param_type_changed,PARAM_TYPE_CHANGED,get,/synth-openapi-d7aa056dc229/auto47870,2,0,0,0,0,0,0,0,0,
pair-01b120eb5284a4e3d32b::ace::3,pair-01b120eb5284a4e3d32b,,,,param_removed,PARAM_REMOVED,get,/synth-openapi-d7aa056dc229/items,2,1,0,0,0,0,0,0,0,
pair-01b120eb5284a4e3d32b::ace::4,pair-01b120eb5284a4e3d32b,,,,param_added,PARAM_ADDED,get,/synth-openapi-d7aa056dc229/auto76543,2,0,0,0,0,0,0,0,0,
pair-01b120eb5284a4e3d32b::ace::5,pair-01b120eb5284a4e3d32b,,,,endpoint_added,ENDPOINT_ADDED,get,/synth-openapi-d7aa056dc229/auto47870,2,0,0,0,0,0,0,0,0,
pair-01b120eb5284a4e3d32b::ace::6,pair-01b120eb5284a4e3d32b,,,,param_required_added,PARAM_REQUIRED_ADDED,get,/synth-openapi-d7aa056dc229/items,2,0,0,0,0,0,0,0,0,
pair-01b120eb5284a4e3d32b::ace::7,pair-01b120eb5284a4e3d32b,,,,param_added,PARAM_ADDED,get,/synth-openapi-d7aa056dc229/auto47870,2,0,0,0,0,0,0,0,0,
pair-01b120eb5284a4e3d32b::ace::8,pair-01b120eb5284a4e3d32b,,,,param_type_changed,PARAM_TYPE_CHANGED,get,/synth-openapi-d7aa056dc229/auto76543,2,0,0,0,0,0,0,0,0,
pair-01efe2d0ccf872ffd8b5::ace::0,pair-01efe2d0ccf872ffd8b5,,,,endpoint_added,ENDPOINT_ADDED,get,/inventory/{id},2,0,0,0,0,0,15,0,0,/inventory/{id}
pair-02e470a6abe55397ee6b::ace::0,pair-02e470a6abe55397ee6b,,,,endpoint_added,ENDPOINT_ADDED,get,/shipments/{id},2,0,0,0,0,0,15,0,0,/shipments/{id}
