pair_id,dataset,service_name,old_sha,new_sha,old_canonical,new_canonical,generated_at
pair-00134a2bfba54ec30ea0,openapi,catalog-service,78f701eeb0963d631df6,def0c5bfe6b5845b6ebe,openapi--catalog-service--00134a2b--v1.canonical.json,openapi--catalog-service--00134a2b--v2.canonical.json,2025-11-30T11:52:26+00:00
pair-00148402948dcebca2d0,openapi,catalog-service,f25629c293324baa2b2d,a7a06cfe8ceb1fdd665e,openapi--catalog-service--00148402--v1.canonical.json,openapi--catalog-service--00148402--v2.canonical.json,2025-11-30T11:52:08+00:00
pair-0038cc62444f6eda3c58,openapi,catalog-service,0110552a966c8de4b737,c461f12817e9284a8d11,openapi--catalog-service--0038cc62--v1.canonical.json,openapi--catalog-service--0038cc62--v2.canonical.json,2025-11-30T11:50:34+00:00
pair-01363891b80836fcd99f,openrewrite,catalog-service,0110552a966c8de4b737,059402a21b8da4062866,openrewrite--catalog-service--01363891--v1.canonical.json,openrewrite--catalog-service--01363891--v2.canonical.json,2025-11-30T12:18:20+00:00
pair-013d1f5e24eb5c9715fc,openapi,catalog-service,b4c0d2b3d09a32200220,967ecf71f8324ab247eb,openapi--catalog-service--013d1f5e--v1.canonical.json,openapi--catalog-service--013d1f5e--v2.canonical.json,2025-11-30T11:50:46+00:00
pair-01571a0bff019f1b3b12,petclinic,petclinic-analytics-service,af17474e7a8e8d38e4d8,1a784d5c57f34f641a6f,petclinic--petclinic-analytics-service--01571a0b--v1.canonical.json,petclinic--petclinic-analytics-service--01571a0b--v2.canonical.json,2025-11-30T12:18:10+00:00
pair-01d21eb835300749cceb,petclinic,petclinic-order-service,6d4ab5cd24f74056fe9c,6d4ab5cd24f74056fe9c,petclinic--petclinic-order-service--01d21eb8--v1.canonical.json,petclinic--petclinic-order-service--01d21eb8--v2.canonical.json,2025-11-30T11:54:51+00:00
pair-01efe2d0ccf872ffd8b5,openrewrite,payment-service,0110552a966c8de4b737,bd72df3e94a0be71a35d,openrewrite--payment-service--01efe2d0--v1.canonical.json,openrewrite--payment-service--01efe2d0--v2.canonical.json,2025-11-30T12:18:20+00:00
pair-02e470a6abe55397ee6b,openrewrite,shipping-service,0110552a966c8de4b737,c439616d4127bc70f067,openrewrite--shipping-service--02e470a6--v1.canonical.json,openrewrite--shipping-service--02e470a6--v2.canonical.json,2025-11-30T12:18:20+00:00
pair-02eb0fa70d4e2521a4dd,openrewrite,analytics-service,0110552a966c8de4b737,eea5b2a5d21754acc919,openrewrite--analytics-service--02eb0fa7--v1.canonical.json,openrewrite--analytics-service--02eb0fa7--v2.canonical.json,2025-11-30T12:18:21+00:00
