pair_id,dataset,service_name,old_sha,new_sha,old_canonical,new_canonical,generated_at
pair-01363891b80836fcd99f,openrewrite,catalog-service,0110552a966c8de4b737,059402a21b8da4062866,openrewrite--catalog-service--01363891--v1.canonical.json,openrewrite--catalog-service--01363891--v2.canonical.json,2025-11-30T13:07:44+00:00
pair-01571a0bff019f1b3b12,petclinic,petclinic-analytics-service,af17474e7a8e8d38e4d8,1a784d5c57f34f641a6f,petclinic--petclinic-analytics-service--01571a0b--v1.canonical.json,petclinic--petclinic-analytics-service--01571a0b--v2.canonical.json,2025-11-30T13:07:17+00:00
pair-01b120eb5284a4e3d32b,openapi,synth-openapi-d7aa056dc229,2a514d2ee42bcf849cd1,e3cc7bff462d0924e475,openapi--synth-openapi-d7aa056dc229--01b120eb--v1.canonical.json,openapi--synth-openapi-d7aa056dc229--01b120eb--v2.canonical.json,2025-11-30T12:27:04+00:00
pair-01efe2d0ccf872ffd8b5,openrewrite,payment-service,0110552a966c8de4b737,bd72df3e94a0be71a35d,openrewrite--payment-service--01efe2d0--v1.canonical.json,openrewrite--payment-service--01efe2d0--v2.canonical.json,2025-11-30T13:07:44+00:00
pair-02e470a6abe55397ee6b,openrewrite,shipping-service,0110552a966c8de4b737,c439616d4127bc70f067,openrewrite--shipping-service--02e470a6--v1.canonical.json,openrewrite--shipping-service--02e470a6--v2.canonical.json,2025-11-30T13:07:44+00:00
pair-02eb0fa70d4e2521a4dd,openrewrite,analytics-service,0110552a966c8de4b737,eea5b2a5d21754acc919,openrewrite--analytics-service--02eb0fa7--v1.canonical.json,openrewrite--analytics-service--02eb0fa7--v2.canonical.json,2025-11-30T13:07:44+00:00
pair-02fa9d4398a7bfdf308d,openapi,synth-openapi-93bb4a578a03,e49656c32c515e4de9df,d4d41fc2dba9a4d7b0a5,openapi--synth-openapi-93bb4a578a03--02fa9d43--v1.canonical.json,openapi--synth-openapi-93bb4a578a03--02fa9d43--v2.canonical.json,2025-11-30T12:27:04+00:00
pair-03666763c2373e8d30dd,openapi,synth-openapi-038e7284bd0b,f562f579ea3e893674f4,a5c953107093e0337444,openapi--synth-openapi-038e7284bd0b--03666763--v1.canonical.json,openapi--synth-openapi-038e7284bd0b--03666763--v2.canonical.json,2025-11-30T12:27:03+00:00
pair-03ec1027271097b6e1ad,openrewrite,order-service,0110552a966c8de4b737,2608de378c2bafd9e376,openrewrite--order-service--03ec1027--v1.canonical.json,openrewrite--order-service--03ec1027--v2.canonical.json,2025-11-30T13:07:44+00:00
pair-04b3c0a11738a05f674c,openrewrite,search-service,0110552a966c8de4b737,a76ba7bb8be55370c9ae,openrewrite--search-service--04b3c0a1--v1.canonical.json,openrewrite--search-service--04b3c0a1--v2.canonical.json,2025-11-30T13:07:45+00:00
